RollNo;id;Last Name;First Name;Class
Golden Spray A 200m;1;Автополив, спрей-туман, дождеватели, микрокапельное оршение;;
Семена редиса Мила (Французский завтрак) 100 г;2;Польские семена оригинал;pln-021;
Пластиковый лоток для ягод и микрозелени 250 г черного цвета высота 28 мм;3;Пластиковая тара для микрозелени;ТП-17;
Лоток под ягоды 1000 г;4;Пластиковая тара для микрозелени;;
Лоток черный 500 г высотой 6 см черного цвета;5;Пластиковая тара для микрозелени;ТП-24;
Лоток под ягоды 800 г;6;Пластиковая тара для микрозелени;;
Пластиковый лоток 500 г Т6/60 прозрачный;7;Пластиковая тара для микрозелени;ТП-28;
Пластиковый лоток прозрачный  для ягод и микрозелени 500 грамм Грузия;8;Пластиковая тара для микрозелени;ТП-21;
Пластиковый лоток для пищевых продуктов;1;Пластиковая тара для микрозелени;AGK-150;
Пластиковый лоток ракушка 125 г;1;Пластиковая тара для микрозелени;ТП-5;
Пластиковый лоток совмещенный с крышкой AGKCK-130;1;Пластиковая тара для микрозелени;AGKCK-130;
Семена арбуза АУ Продюсер 500 грамм  (HOLLAR) США фольгированный пакет;1;Семена в профессиональной упаковке;;
Ремонтник для садовой трубки 16 мм;1;Комплектующие капельного полива;;
Тройник для садовой трубки 16 мм;1;Комплектующие капельного полива;;
Многолетняя слепая капельная трубка 16 мм 200 метров;1;Ленты и трубки капельного полива ,орошения;AGT-001200;
Кран для садовой трубки с резинкой 16 мм;1;Комплектующие капельного полива;;
Кассеты для рассады на 64 ячейки;1;Кассеты для рассады;AGK-007;
Кассеты для рассады на 72 ячейки;1;Кассеты для рассады;AGK-003;
Кассеты для рассады на 32 ячейки;1;Кассеты для рассады;AGK-001;
Кассеты для рассады на 50 ячеек;1;Кассеты для рассады;AGK-002;
Кассеты для рассады на 90 ячеек;1;Кассеты для рассады;AGK-004;
Кассеты для рассады на 144 ячейки;1;Кассеты для рассады;AGK-006;
Кассеты для рассады на 105 ячеек;1;Кассеты для рассады;AGK-005;
Пластиковый лоток 250 грамм  черного цвета для микрозелени и ягод;1;Пластиковая тара для микрозелени;ТП-16;
Пластиковый лоток 250 грамм для микрозелени и фасовки ягод;1;Пластиковая тара для микрозелени;ТП-18;
Пластиковый контейнер для черри с крышкой;1;Пластиковая тара для микрозелени;ТП-4;
Семена свеклы Детройт 100 г;1;Польские семена оригинал;;
Семена свеклы Детройт 500 грамм;1;Польские семена оригинал;pln-002;
Семена свеклы Цилиндра 100 г рамм;1;Польские семена оригинал;;
